packet_length,timestamp,source_ip,destination_ip,time_difference,direction
102,2026-02-12 18:27:12.155460,192.168.56.103,192.168.56.102,0,client to server
102,2026-02-12 18:27:12.175280,192.168.56.102,192.168.56.103,0,server to client
102,2026-02-12 18:27:12.175607,192.168.56.103,192.168.56.102,0,client to server
102,2026-02-12 18:27:12.195679,192.168.56.102,192.168.56.103,0,server to client
102,2026-02-12 18:27:12.196208,192.168.56.103,192.168.56.102,0,client to server
102,2026-02-12 18:27:12.215967,192.168.56.102,192.168.56.103,0,server to client
102,2026-02-12 18:27:12.216406,192.168.56.103,192.168.56.102,0,client to server
102,2026-02-12 18:27:12.235516,192.168.56.102,192.168.56.103,0,server to client
102,2026-02-12 18:27:12.235884,192.168.56.103,192.168.56.102,0,client to server
102,2026-02-12 18:27:12.255548,192.168.56.102,192.168.56.103,0,server to client
102,2026-02-12 18:27:12.255943,192.168.56.103,192.168.56.102,0,client to server
102,2026-02-12 18:27:12.275509,192.168.56.102,192.168.56.103,0,server to client
102,2026-02-12 18:27:12.275830,192.168.56.103,192.168.56.102,0,client to server
102,2026-02-12 18:27:12.297977,192.168.56.102,192.168.56.103,0,server to client
102,2026-02-12 18:27:12.298488,192.168.56.103,192.168.56.102,0,client to server
102,2026-02-12 18:27:12.320462,192.168.56.102,192.168.56.103,0,server to client
102,2026-02-12 18:27:12.320963,192.168.56.103,192.168.56.102,0,client to server
102,2026-02-12 18:27:12.339384,192.168.56.102,192.168.56.103,0,server to client
102,2026-02-12 18:27:12.339805,192.168.56.103,192.168.56.102,0,client to server
102,2026-02-12 18:27:12.359604,192.168.56.102,192.168.56.103,0,server to client
102,2026-02-12 18:27:12.360540,192.168.56.103,192.168.56.102,0,client to server
102,2026-02-12 18:27:12.377857,192.168.56.102,192.168.56.103,0,server to client
102,2026-02-12 18:27:12.378400,192.168.56.103,192.168.56.102,0,client to server
102,2026-02-12 18:27:12.398553,192.168.56.102,192.168.56.103,0,server to client
102,2026-02-12 18:27:12.398943,192.168.56.103,192.168.56.102,0,client to server
102,2026-02-12 18:27:12.420311,192.168.56.102,192.168.56.103,0,server to client
102,2026-02-12 18:27:12.420744,192.168.56.103,192.168.56.102,0,client to server
102,2026-02-12 18:27:12.440484,192.168.56.102,192.168.56.103,0,server to client
102,2026-02-12 18:27:12.440947,192.168.56.103,192.168.56.102,0,client to server
102,2026-02-12 18:27:12.462441,192.168.56.102,192.168.56.103,0,server to client
102,2026-02-12 18:27:12.462875,192.168.56.103,192.168.56.102,0,client to server
102,2026-02-12 18:27:12.486956,192.168.56.102,192.168.56.103,0,server to client
102,2026-02-12 18:27:12.487460,192.168.56.103,192.168.56.102,0,client to server
102,2026-02-12 18:27:12.511454,192.168.56.102,192.168.56.103,0,server to client
102,2026-02-12 18:27:12.512021,192.168.56.103,192.168.56.102,0,client to server
102,2026-02-12 18:27:12.538129,192.168.56.102,192.168.56.103,0,server to client
102,2026-02-12 18:27:12.538671,192.168.56.103,192.168.56.102,0,client to server
102,2026-02-12 18:27:12.557973,192.168.56.102,192.168.56.103,0,server to client
102,2026-02-12 18:27:12.558588,192.168.56.103,192.168.56.102,0,client to server
102,2026-02-12 18:27:12.578595,192.168.56.102,192.168.56.103,0,server to client
102,2026-02-12 18:27:12.579514,192.168.56.103,192.168.56.102,0,client to server
102,2026-02-12 18:27:12.602217,192.168.56.102,192.168.56.103,0,server to client
102,2026-02-12 18:27:12.602679,192.168.56.103,192.168.56.102,0,client to server
102,2026-02-12 18:27:12.615466,192.168.56.102,192.168.56.103,0,server to client
102,2026-02-12 18:27:12.615864,192.168.56.103,192.168.56.102,0,client to server
102,2026-02-12 18:27:12.636394,192.168.56.102,192.168.56.103,0,server to client
102,2026-02-12 18:27:12.636715,192.168.56.103,192.168.56.102,0,client to server
102,2026-02-12 18:27:12.656825,192.168.56.102,192.168.56.103,0,server to client
102,2026-02-12 18:27:12.657474,192.168.56.103,192.168.56.102,0,client to server
102,2026-02-12 18:27:12.681752,192.168.56.102,192.168.56.103,0,server to client
102,2026-02-12 18:27:12.682424,192.168.56.103,192.168.56.102,0,client to server
102,2026-02-12 18:27:12.698667,192.168.56.102,192.168.56.103,0,server to client
102,2026-02-12 18:27:12.699074,192.168.56.103,192.168.56.102,0,client to server
102,2026-02-12 18:27:12.719491,192.168.56.102,192.168.56.103,0,server to client
102,2026-02-12 18:27:12.719892,192.168.56.103,192.168.56.102,0,client to server
102,2026-02-12 18:27:12.740393,192.168.56.102,192.168.56.103,0,server to client
102,2026-02-12 18:27:12.741030,192.168.56.103,192.168.56.102,0,client to server
102,2026-02-12 18:27:12.760488,192.168.56.102,192.168.56.103,0,server to client
