stream,packet_length,timestamp,source_ip,destination_ip,time_difference,direction
0,36,2026-02-13 11:17:22.170616,192.168.56.102,192.168.56.103,0.0,client to server
0,36,2026-02-13 11:17:22.172560,192.168.56.103,192.168.56.102,0.001944,server to client
0,0,2026-02-13 11:17:22.174870,192.168.56.102,192.168.56.103,0.00231,client to server
0,36,2026-02-13 11:17:22.184709,192.168.56.102,192.168.56.103,0.009839,client to server
0,36,2026-02-13 11:17:22.185698,192.168.56.103,192.168.56.102,0.000989,server to client
0,36,2026-02-13 11:17:22.206917,192.168.56.102,192.168.56.103,0.021219,client to server
0,36,2026-02-13 11:17:22.216473,192.168.56.103,192.168.56.102,0.009556,server to client
0,36,2026-02-13 11:17:22.226924,192.168.56.102,192.168.56.103,0.010451,client to server
0,36,2026-02-13 11:17:22.228054,192.168.56.103,192.168.56.102,0.00113,server to client
0,0,2026-02-13 11:17:22.270189,192.168.56.102,192.168.56.103,0.042135,client to server
0,36,2026-02-13 11:17:22.271691,192.168.56.102,192.168.56.103,0.001502,client to server
0,36,2026-02-13 11:17:22.272218,192.168.56.103,192.168.56.102,0.000527,server to client
0,0,2026-02-13 11:17:22.274101,192.168.56.102,192.168.56.103,0.001883,client to server
0,36,2026-02-13 11:17:22.360978,192.168.56.102,192.168.56.103,0.086877,client to server
0,36,2026-02-13 11:17:22.361822,192.168.56.103,192.168.56.102,0.000844,server to client
0,0,2026-02-13 11:17:22.364757,192.168.56.102,192.168.56.103,0.002935,client to server
0,36,2026-02-13 11:17:22.428447,192.168.56.102,192.168.56.103,0.06369,client to server
0,36,2026-02-13 11:17:22.428898,192.168.56.103,192.168.56.102,0.000451,server to client
0,0,2026-02-13 11:17:22.430751,192.168.56.102,192.168.56.103,0.001853,client to server
0,36,2026-02-13 11:17:22.474013,192.168.56.102,192.168.56.103,0.043262,client to server
0,36,2026-02-13 11:17:22.475847,192.168.56.103,192.168.56.102,0.001834,server to client
0,0,2026-02-13 11:17:22.481393,192.168.56.102,192.168.56.103,0.005546,client to server
0,36,2026-02-13 11:17:22.512268,192.168.56.102,192.168.56.103,0.030875,client to server
0,36,2026-02-13 11:17:22.513753,192.168.56.103,192.168.56.102,0.001485,server to client
0,36,2026-02-13 11:17:22.540000,192.168.56.102,192.168.56.103,0.026247,client to server
0,36,2026-02-13 11:17:22.540357,192.168.56.103,192.168.56.102,0.000357,server to client
0,36,2026-02-13 11:17:22.563897,192.168.56.102,192.168.56.103,0.02354,client to server
0,36,2026-02-13 11:17:22.564272,192.168.56.103,192.168.56.102,0.000375,server to client
0,36,2026-02-13 11:17:22.598128,192.168.56.102,192.168.56.103,0.033856,client to server
0,36,2026-02-13 11:17:22.598649,192.168.56.103,192.168.56.102,0.000521,server to client
0,36,2026-02-13 11:17:22.639935,192.168.56.102,192.168.56.103,0.041286,client to server
0,36,2026-02-13 11:17:22.640758,192.168.56.103,192.168.56.102,0.000823,server to client
0,0,2026-02-13 11:17:22.687955,192.168.56.102,192.168.56.103,0.047197,client to server
0,36,2026-02-13 11:17:22.712959,192.168.56.102,192.168.56.103,0.025004,client to server
0,36,2026-02-13 11:17:22.719581,192.168.56.103,192.168.56.102,0.006622,server to client
0,0,2026-02-13 11:17:22.734900,192.168.56.102,192.168.56.103,0.015319,client to server
0,36,2026-02-13 11:17:22.754597,192.168.56.102,192.168.56.103,0.019697,client to server
0,36,2026-02-13 11:17:22.754981,192.168.56.103,192.168.56.102,0.000384,server to client
0,36,2026-02-13 11:17:22.779351,192.168.56.102,192.168.56.103,0.02437,client to server
0,36,2026-02-13 11:17:22.779665,192.168.56.103,192.168.56.102,0.000314,server to client
0,36,2026-02-13 11:17:22.801362,192.168.56.102,192.168.56.103,0.021697,client to server
0,36,2026-02-13 11:17:22.801719,192.168.56.103,192.168.56.102,0.000357,server to client
0,36,2026-02-13 11:17:22.824325,192.168.56.102,192.168.56.103,0.022606,client to server
0,36,2026-02-13 11:17:22.824730,192.168.56.103,192.168.56.102,0.000405,server to client
0,36,2026-02-13 11:17:22.851430,192.168.56.102,192.168.56.103,0.0267,client to server
0,36,2026-02-13 11:17:22.851790,192.168.56.103,192.168.56.102,0.00036,server to client
0,0,2026-02-13 11:17:22.904136,192.168.56.102,192.168.56.103,0.052346,client to server
0,36,2026-02-13 11:17:22.905411,192.168.56.102,192.168.56.103,0.001275,client to server
0,36,2026-02-13 11:17:22.905884,192.168.56.103,192.168.56.102,0.000473,server to client
0,0,2026-02-13 11:17:22.907964,192.168.56.102,192.168.56.103,0.00208,client to server
0,36,2026-02-13 11:17:22.944714,192.168.56.102,192.168.56.103,0.03675,client to server
0,36,2026-02-13 11:17:22.945089,192.168.56.103,192.168.56.102,0.000375,server to client
0,0,2026-02-13 11:17:22.946848,192.168.56.102,192.168.56.103,0.001759,client to server
0,36,2026-02-13 11:17:22.995262,192.168.56.102,192.168.56.103,0.048414,client to server
0,36,2026-02-13 11:17:22.996593,192.168.56.103,192.168.56.102,0.001331,server to client
0,0,2026-02-13 11:17:22.999022,192.168.56.102,192.168.56.103,0.002429,client to server
0,36,2026-02-13 11:17:23.035715,192.168.56.102,192.168.56.103,0.036693,client to server
0,36,2026-02-13 11:17:23.036053,192.168.56.103,192.168.56.102,0.000338,server to client
0,36,2026-02-13 11:17:23.057824,192.168.56.102,192.168.56.103,0.021771,client to server
0,36,2026-02-13 11:17:23.058160,192.168.56.103,192.168.56.102,0.000336,server to client
0,0,2026-02-13 11:17:23.125844,192.168.56.102,192.168.56.103,0.067684,client to server
0,36,2026-02-13 11:17:23.125846,192.168.56.102,192.168.56.103,2e-06,client to server
0,36,2026-02-13 11:17:23.126148,192.168.56.103,192.168.56.102,0.000302,server to client
0,0,2026-02-13 11:17:23.128577,192.168.56.102,192.168.56.103,0.002429,client to server
0,36,2026-02-13 11:17:23.185884,192.168.56.102,192.168.56.103,0.057307,client to server
0,36,2026-02-13 11:17:23.189454,192.168.56.103,192.168.56.102,0.00357,server to client
0,0,2026-02-13 11:17:23.192560,192.168.56.102,192.168.56.103,0.003106,client to server
0,36,2026-02-13 11:17:23.239931,192.168.56.102,192.168.56.103,0.047371,client to server
0,36,2026-02-13 11:17:23.239933,192.168.56.102,192.168.56.103,2e-06,client to server
0,0,2026-02-13 11:17:23.240853,192.168.56.103,192.168.56.102,0.00092,server to client
0,72,2026-02-13 11:17:23.242041,192.168.56.103,192.168.56.102,0.001188,server to client
0,36,2026-02-13 11:17:23.249102,192.168.56.102,192.168.56.103,0.007061,client to server
0,36,2026-02-13 11:17:23.249104,192.168.56.102,192.168.56.103,2e-06,client to server
0,0,2026-02-13 11:17:23.249141,192.168.56.103,192.168.56.102,3.7e-05,server to client
0,0,2026-02-13 11:17:23.250470,192.168.56.103,192.168.56.102,0.001329,server to client
0,36,2026-02-13 11:17:23.252416,192.168.56.103,192.168.56.102,0.001946,server to client
0,36,2026-02-13 11:17:23.274013,192.168.56.102,192.168.56.103,0.021597,client to server
0,36,2026-02-13 11:17:23.274889,192.168.56.103,192.168.56.102,0.000876,server to client
0,36,2026-02-13 11:17:23.299167,192.168.56.102,192.168.56.103,0.024278,client to server
0,36,2026-02-13 11:17:23.299862,192.168.56.103,192.168.56.102,0.000695,server to client
0,36,2026-02-13 11:17:23.325997,192.168.56.102,192.168.56.103,0.026135,client to server
0,36,2026-02-13 11:17:23.326649,192.168.56.103,192.168.56.102,0.000652,server to client
0,36,2026-02-13 11:17:23.349690,192.168.56.102,192.168.56.103,0.023041,client to server
0,36,2026-02-13 11:17:23.350199,192.168.56.103,192.168.56.102,0.000509,server to client
0,36,2026-02-13 11:17:23.378327,192.168.56.102,192.168.56.103,0.028128,client to server
0,36,2026-02-13 11:17:23.378762,192.168.56.103,192.168.56.102,0.000435,server to client
0,36,2026-02-13 11:17:23.400671,192.168.56.102,192.168.56.103,0.021909,client to server
0,36,2026-02-13 11:17:23.401171,192.168.56.103,192.168.56.102,0.0005,server to client
0,36,2026-02-13 11:17:23.423998,192.168.56.102,192.168.56.103,0.022827,client to server
0,36,2026-02-13 11:17:23.424661,192.168.56.103,192.168.56.102,0.000663,server to client
0,36,2026-02-13 11:17:23.452776,192.168.56.102,192.168.56.103,0.028115,client to server
0,36,2026-02-13 11:17:23.453311,192.168.56.103,192.168.56.102,0.000535,server to client
0,36,2026-02-13 11:17:23.471847,192.168.56.102,192.168.56.103,0.018536,client to server
0,36,2026-02-13 11:17:23.472649,192.168.56.103,192.168.56.102,0.000802,server to client
0,36,2026-02-13 11:17:23.498705,192.168.56.102,192.168.56.103,0.026056,client to server
0,36,2026-02-13 11:17:23.499074,192.168.56.103,192.168.56.102,0.000369,server to client
0,36,2026-02-13 11:17:23.516066,192.168.56.102,192.168.56.103,0.016992,client to server
0,36,2026-02-13 11:17:23.516463,192.168.56.103,192.168.56.102,0.000397,server to client
0,36,2026-02-13 11:17:23.535754,192.168.56.102,192.168.56.103,0.019291,client to server
0,36,2026-02-13 11:17:23.536052,192.168.56.103,192.168.56.102,0.000298,server to client
0,36,2026-02-13 11:17:23.556807,192.168.56.102,192.168.56.103,0.020755,client to server
0,36,2026-02-13 11:17:23.557255,192.168.56.103,192.168.56.102,0.000448,server to client
